en_us	pt_BR
He wags his tail instead of his tounge.	Ele abana o rabo em vez da sua língua.
Your older sister.	Sua irmã mais velha.
She's a lot like you.	Ela é muito parecida com você.
She likes to grab my mircophone.	Ela gosta de pegar meu microfone.
Now there ain't too much she won't do.	Agora não há muito ela não fará.
Especially when we're all alone.	Especialmente quando estamos sozinhos.
You're up, you're down.	Você está em cima, você está embaixo.
You're always runnin' in place.	Você está sempre correndo no lugar.
Triathlon if you please.	Triatlo, se você quiser.
Her mind's on rewind and erase.	Sua mente está no retroceder e apagar.
You might get shot, babe.	Você pode levar um tiro, querida.
When you're shootin' the breeze.	Quando você estiver atirando na brisa.
Yak yak yak.	Yak yak yak.
Lord you give me bends.	Lord você me dá as curvas.
You're heads and tails.	Você está cara ou coroa.
Are calling for love.	Está clamando por amor.
Like The Reason A Dog.	Como A Razão De Um Cão.
Has so many friends.	Tem tantos amigos.
He wags his tail instead of his tounge.	Ele abana o rabo em vez da sua língua.
(Repeat).	(Repete).
Your older sister.	Sua irmã mais velha.
She's a lot like you.	Ela é muito parecida com você.
And there ain't too much she won't do.	Agora não há muito ela não fará.
There's always something.	Sempre há algo.
That you got to say.	Que você tem a dizer.
I lose my mind and then I surely fade away, yeah.	Eu perco a cabeça e certamente enfraqueço bastante, yeah.
Yak yak yak.	Yak yak yak.
Lord you give me the bends.	Senhor você me dá as curvas.
You're heads and tails.	Você está cara ou coroa.
Now look what you done.	Agora olhe o que você fez.
Like The Reason A Dog.	Como A Razão De Um Cão.
Has so many friends.	Tem tantos amigos.
He wags his tail instead of his tounge.	Ele abana o rabo em vez da sua língua.
Theme from Spider-Man	Homem Aranha
Spider-Man, Spider-Man.	Homem Aranha, Homem Aranha,.
Does whatever a Spider can.	Faz tudo o que uma aranha pode.
Spins a web, sweet surprise.	Faz uma teia, doce surpresa.
Catches thieves just like flies.	Pega ladrões como moscas.
Look out, here comes the Spider-Man.	Cuidado, ai vem o Homem Aranha.
Is he strong, listen bud.	Ele é forte, escute bem.
He's got radioactive blood.	Ele tem sangue radioativo.
Can he swing from a thread.	Ele pode se equilibrar em uma corda.
No escape from his spider web.	Ninguém escapa da sua teia de aranha.
Look out, there goes a Spider.	Cuidado, aí vem o Homem Aranha.
When chill meets the night.	Na calada da noite.
And the scream of a crime.	Na cena do crime.
Like a laser edge.	Como um traço de luz.
He arrives just in time.	Ele chega bem na hora.
Spider-Man, Spider-Man.	Homem Aranha, Homem Aranha.
Doing the impossible.	Fazendo o impossível.
Why because he can.	Apenas porque pode.
Spider-Man, Spider-Man.	Homem Aranha, Homem Aranha.
Doin' what he gotta do,.	Fazendo o que ele tem que fazer.
According to the plan.	De acordo com o plano.
Look out, life is a great big bang-up.	Cuidado, a vida é uma grande explosão.
Wherever there is a hang-up.	Onde quer que esteja.
You'll find the Spider-Man.	Você vai encontrar o Homem Aranha.
Theme from Wayne's World	Tema Mundo de Wayne
Let's do it.	Vamos fazê-lo.
Far out.	Longe.
Alright here we go.	Tudo bem, aqui vamos nós.
One two a one two three.	Um, dois, um, dois, três.
It's wayne's world.	It's world wayne.
It's wayne's world.	It's world wayne.
It's party time.	É tempo do partido.
It's excellent.	É excelente.
It's wayne's world.	It's world wayne.
It's wayne's world.	It's world wayne.
It's party time.	É tempo do partido.
It's excellent.	É excelente.
Chicks go mental when we go down the street.	Chicks go mental quando descer a rua.
Ooo.	Ooo.
It's wayne and garth when they want to meet.	Ti de wayne e garth quando querem encontros.
Yeah.	Sim.
We're in the basement playin' with our toys.	Estamos no cave brincando com nossos brinquedos.
And if you do not like it you're a sphincter boy.	E se você não gosta você é um menino esfíncter.
Ow wayne's world.	Mundo ow wayne.
Wayne's world.	Mundo wayne.
It's party time.	É tempo do partido.
It's excellent.	É excelente.
Wayne's world.	Mundo wayne.
Wayne's world.	Mundo wayne.
Wayne's world.	Mundo wayne.
It's party time.	É tempo do partido.
It's excellent yeah-ah yeah.	É excelente yeah-oh yeah.
Yeah thank you thank you goodnight goodnight.	Sim, obrigado, obrigado boa noite boa noite..
Good night and party on.	Boa noite e festa.
Aurora rocks aurora rocks.	Aurora aurora rochas rochas.
Thank you, good night.	Obrigado, boa noite.
God bless you and don't forget to wear a rubber.	Deus abençoe você e não se esqueça de usar uma borracha.
Aurora rocks.	Rochas da aurora.
Aurora rocks.	Rochas da aurora.
Good night and party on.	Boa noite e festa em.
Think About It	Think About It
When will the clouds all blow it away.	Quando é que as nuvens todos os soprar-la.
When will the good people have their say.	Quando será que as pessoas boas têm muito a dizer.
Now I hope you're still around to see the day.	Agora eu espero que você ainda está por perto para ver o dia.
Take a while, Think About It.	Demorar um pouco, pense nisso.
Take a while, Think About It.	Demorar um pouco, pense nisso.
Take a while, Think About It.	Demorar um pouco, pense nisso.
Who's gonna tell what is up or down.	Quem vai dizer o que está para cima ou para baixo.
Who can be the king or be the clown.	Quem pode ser o rei ou ser o palhaço.
Then climb your tree, take a look around.	Em seguida, subir a sua árvore, dê uma olhada.
Take a while, Think About It.	Demorar um pouco, pense nisso.
Take a while, Think About It.	Demorar um pouco, pense nisso.
Take a while, Think About It.	Demorar um pouco, pense nisso.
Take it nobody out, if it in the tame.	Levá-la ninguém para fora, se na domar.
That which is now, will be again.	O que é agora, será novamente.
Who can decide who is insane.	Quem pode decidir quem é insano.
Take a while, Think About It.	Demorar um pouco, pense nisso.
Take a while, Think About It.	Demorar um pouco, pense nisso.
Three Mile Smile	Sorriso de Três Milhas
Take a walk in the warm New England sun.	Faça um passeio no sol quente de Nova Inglaterra.
Ain't no time to look for clues.	Não tem tempo para procurar pistas.
You get the point from Uncle Sam's loaded gun.	Você começa o ponto de arma carregada do Tio Sam.
Who be the hand that light the fuse, ah.	Quem é a mão que o fusível da luz, ah.
Take a look, take a look at my old billy goat.	Dê uma olhada, dê uma olhada no meu bode velho Billy.
He used to raise all kinds of hell.	Ele costumava levantar todos os tipos de inferno.
He took a dose of radiation dope.	Ele tomou uma dose de radiação narcótica.
Back in the barn is where he fell, like hell.	De volta no celeiro é o local onde ele caiu, como o inferno.
Lucy, chromosone.	Lucy, cromossomo.
Lucy, superdome.	Lucy, superdomo.
What makes you think you patronizin' my old friends.	O que faz você pensar que você padronizando meus velhos amigos.
After you ride in my car, car.	Depois de andar no meu carro, carro.
What do you do when your oil's mexican.	O que você faz quando seu petróleo mexicano.
OPEC boys, you went too far, to faar.	Meninos da OPEC, você foi longe demais, demaais.
Lucy, chromosone.	Lucy, cromossomo.
Lucy, superdome.	Lucy, superdomo.
Lucy, papadum.	Lucy, paparis.
Lucy, sing the song.	Lucy, cante a canção.
(Ah), dig it up.	(Ah), o desenterre-o.
(Ah), leave it up.	(Ah), deixe-o.
(Ah), dig it up.	(Ah),o desenterre-o.
(Ah), leave it up.	(Ah), deixe-o.
Toys in the Attic	Brinquedos No Sótão
Toys In The Attic.	Brinquedos no Sótão.
In the attic, lights.	No sótão,Luzes.
Voices scream, nothing seems.	vozes gritam,nada vejo.
Real's a dream.	Realmente é um sonho.
Leaving the things that are real behind.	Deixando coisas reais para trás.
Leaving the things that you love from mind.	Deixando coisas que você ama na mente.
All of the things that you learned from fears.	Todas as coisas que você aprendeu de seus medos.
Nothing is left for the years, voices scream.	Nada é abandonado pelos anos,vozes divertidas.
Nothing seems real's a dream.	Nada vejo,realmente é um sonho.
Toys, toys, toys, in the attic.	Brinquedos,brinquedos,brinquedos,no sotão.
Toys, toys, toys, in the attic.	Brinquedos,brinquedos,brinquedos,no sotão.
Toys, toys, toys, in the attic.	Brinquedos,brinquedos,brinquedos,no sotão.
Toys, toys, toys, in the attic, lights.	Brinquedos,brinquedos,brinquedos,no sotão,luzes.
Voices scream, nothing seems.	Vozes gritam,nada vejo.
Real's a dream.	Realmente é um sonho.
Leaving the things that are real behind.	Deixando coisas reais para trás.
Leaving the things that you love from mind.	Deixando coisas que você ama na mente.
All of the things that you learned from fears.	Todas as coisas que você aprendeu de seus medos.
Nothing is left for the years, voices scream.	Nada abandonado pelos anos,vozes gritam.
Nothing seems real's a dream.	Nada vejo, realmente é um sonho.
Toys, toys toys, in the attic.	Brinquedos,brinquedos,brinquedos,no sótão.
Toys, toys toys, in the attic.	Brinquedos,brinquedos,brinquedos,no sótão.
Toys, toys toys, in the attic.	Brinquedos,brinquedos,brinquedos,no sótão.
Toys, toys toys, in the attic.	Brinquedos,brinquedos,brinquedos,no sótão.
Train Kept A-Rollin'	Trem Continue Andando
Well on a train I met a dame.	Bem, em um trem, eu conheci uma dama,.
She rather handsome, we kinda looked the same.	Ela preferia pessoas bonitas, nós eramos parecidos.
She was pretty from New York City.	Ela era bonita, de Nova York.
I'm walkin down that old fair lane.	Estou descendo aquela velha travessa.
I'm in heat, I'm in love.	Eu estou com calor, estou apaixonado.
But I just couldn't tell her soI said train kept a rollin all night long.	Mas eu simplesmente não podia contar para ela então eu disse, trem continue andando a noite inteira.
Train kept a rollin all night long.	Trem continue andando a noite inteira.
Train kept a rollin all night long.	Trem continue andando a noite inteira.
Train kept a rollin all night long.	Trem continue andando a noite inteira.
With a heave and a ho.	"Com um suspiro e um ""ho""!."
But I just couldn't tell her so, no no no.	Mas eu simplesmente não podia contar para ela então, não, não, não.
Well get along.	Bem, prossiga,.
Sweet little woman get along.	Doce mulherzinha prossiga.
On your way get along.	Em seu caminho, prossiga,.
Sweet little woman get along.	Doce mulherzinha prossiga.
On your way.	Em seu caminho,.
I'm in heat I'm in love.	Estou com calor, estou apaixonado.
But I just couldn't tell her so, no no no.	Mas eu simplesmente não podia contar para ela então,não,não,não.
Yeah, train I met a dame.	Yeah,em um trem, eu conheci uma dama,.
She rather handsome we kinda looked the same.	Ela preferia pessoas bonitas, nós eramos parecidos.
A she were pretty from New York City.	Ela era bonita, de Nova York.
I'm walkin down that old fair lane.	Estou descendo aquela velha travessa.
I'm in heat I'm in love.	Estou com calor, estou apaixonado.
But I just couldn't tell her soI said train kept a rollin all night long.	Eu disse, trem continue andando a noite inteira.
Train kept a rollin all night long.	Trem continue andando a noite inteira.
Train kept a rollin all night long.	Trem continue andando a noite inteira.
Train kept a rollin all night long.	Trem continue andando a noite inteira.
I'm in heat with a hoe.	"Com um suspiro e um ""ho""!."
But I just couldn't tell her, no no no no.	Mas eu simplesmente não podia contar para ela então, não, não, não.
Well get along.	Bem, prossiga,.
Sweet little woman get along.	doce mulherzinha prossiga.
On your way get along.	Em seu caminho, prossiga,.
Sweet little woman get along.	doce mulherzinha prossiga.
On your way.	Em seu caminho,.
I'm in heat I'm in love.	Estou com calor, estou apaixonado.
But I just couldn't tell her.	Mas eu simplesmente não podia contar para ela então.
Well we made a stop in Albuquerque.	Bem, nós fizemos uma parada em Albuquerque.
She musta thought I was a real cool jerk.	Ela precisava achar que eu era um cara realmente legal.
Climbin off the train and lookin handsome.	Saímos do trem, e coloquei suas mãos para cima.
Lookin so good jack couldn't let it go.	Era tão linda que eu não podia deixá-la ir.
Ooooh but I just couldn't tell her so said train kept a rollin all night long.	Mas eu simplesmente não podia contar para ela então eu disse, trem continue andando a noite inteira.
Train kept a rollin all night long.	Trem continue andando a noite inteira.
